item_id,room_id,kind,item_key,name,done,category,est_eur,act_eur,link,notes
,exterior,work,,Build west wall (4m),0,,,,,
,exterior,work,,Build north wood fence,0,,,,,
,extension,work,,Paint all walls/ceiling,0,,,,,
,extension,expense,wood_floor,Wood floor (extension),0,materials,,,,
,extension,expense,sofa_corner,Angle couch,0,furniture,,,,
,kitchen,work,,Remove lower part (worktop, storages, gas cooker, sink),0,,,,,
,kitchen,work,,Remove/redo earthenware on wall,0,,,,,
,kitchen,work,,Build/install replacement lower part,0,,,,,
,kitchen,expense,floor_kitchen,Floor (wood or stone),0,materials,,,,
,kitchen,expense,kitchen_island,Independent central worktop / island,0,materials,,,,"Separated from wall"
,dining,expense,wood_floor,Wood floor (dining),0,materials,,,,
,dining,expense,library_custom,Huge library (4m L x 3.5m H x 40cm D) on east wall,0,furniture,,,,
,dining,work,,Wall painting (dining),0,,,,,
,bathroom,expense,bathroom_sink_unit,Sink + storage furniture,0,furniture,,,,
,bathroom,work,,Replace shower tray with walk-in shower,0,,,,,
,bathroom,work,,Install sliding entrance door,0,,,,,
,cellar,expense,storage,Storages (cellar),0,furniture,,,,
,parents,expense,storage,Dressing (storage),0,furniture,,,,
